sim_sample,gb_census_mun_true,gb_census_mun_constrain,gb_census_mun_direct,gb_gis_mun_true,gb_gis_mun_constrain,gb_gis_mun_direct,gb_all_mun_true,gb_all_mun_constrain,gb_all_mun_direct,gb_census_psu_true,gb_census_psu_constrain,gb_census_psu_direct,bart_census_mun_true,bart_census_mun_constrain,bart_census_mun_direct,bart_gis_mun_true,bart_gis_mun_constrain,bart_gis_mun_direct,bart_all_mun_true,bart_all_mun_constrain,bart_all_mun_direct,bart_census_psu_true,bart_census_psu_constrain,bart_census_psu_direct,rf_census_mun_true,rf_census_mun_constrain,rf_census_mun_direct,rf_gis_mun_true,rf_gis_mun_constrain,rf_gis_mun_direct,rf_all_mun_true,rf_all_mun_constrain,rf_all_mun_direct,rf_census_psu_true,rf_census_psu_constrain,rf_census_psu_direct,lasso_census_mun_true,lasso_census_mun_constrain,lasso_census_mun_direct,lasso_gis_mun_true,lasso_gis_mun_constrain,lasso_gis_mun_direct,lasso_all_mun_true,lasso_all_mun_constrain,lasso_all_mun_direct,lasso_census_psu_true,lasso_census_psu_constrain,lasso_census_psu_direct,ols_census_mun_true,ols_census_mun_constrain,ols_census_mun_direct,ols_gis_mun_true,ols_gis_mun_constrain,ols_gis_mun_direct,ols_all_mun_true,ols_all_mun_constrain,ols_all_mun_direct,ols_census_psu_true,ols_census_psu_constrain,ols_census_psu_direct,gb_census_psu_wc_true,gb_census_psu_wc_constrain,gb_census_psu_wc_direct,gb_gis_mun_ntl_true,gb_gis_mun_ntl_constrain,gb_gis_mun_ntl_direct,gb_all_mun_ntl_true,gb_all_mun_ntl_constrain,gb_all_mun_ntl_direct,eb_true,eb_constrain,eb_direct,uc_true,uc_constrain,uc_direct,fh_true,fh_constrain,fh_direct
1,0.8719498256332708,0.8678016084294307,0.6421107666705652,0.5678707851454721,0.4944204001226199,0.38961836632332725,0.8734658433471418,0.8673227279507338,0.6498144381088471,0.8787953949891414,0.8672438748937306,0.5823754897351281,0.8764616540711616,0.8752348689775732,0.6631005679040778,0.6096357960452609,0.5829178879527066,0.44927999203823343,0.8786776347972993,0.8760324684311317,0.6549301979585226,0.8834701998731078,0.8760785438794632,0.5861484604714078,0.8740008134178924,0.8732322414666632,0.6710550012090477,0.7368038777436919,0.7195159755972382,0.7053103431757514,0.8825990112226338,0.880560707172004,0.6921524850199642,0.8906563710446525,0.8747549045667006,0.6130375763493596,0.8441995653460744,0.7970979957734875,0.5496389181639348,0.43305993571849444,0.40521775520767755,0.28138260441017604,0.8510122654444471,0.8043748123726402,0.5613454687459788,0.8511141885728537,0.8082124363662665,0.5440525690716729,0.5326117000199949,-1.6720298097597293,0.36488775954495967,0.5272990662896193,0.5265477749007095,0.38392235504759886,0.839342617216005,0.8385428770358045,0.6038741647316581,0.6981818249294747,-1.0217205797459044,0.4526451089309653,0.891019001097686,0.8897021302926219,0.6228391990392628,0.7178597718856402,0.6980921724096592,0.6012259173878716,0.8693448369058161,0.8640268328004992,0.6422043669572983,0.9063605290941086,0.8972134716865758,0.6636418613909452,0.8736472449297966,0.8311734293492974,0.6658134164658023,0.8267875287493227,0.8150244861004031,0.5740669016077018
2,0.861031811452525,0.8579068922078477,0.6802443237075573,0.7257317620617514,0.7162195487239087,0.7210654342592598,0.8567625437240025,0.850984956816501,0.7509179100203287,0.8742344908966353,0.8684014120406423,0.6149076529872332,0.8607873483923252,0.8570598626772904,0.6862184117768841,0.6682690999822922,0.6541080177596708,0.5797142879664117,0.8678083413289823,0.8642930854637352,0.7113103236453062,0.8788345893378704,0.8751389724171084,0.6172270530728539,0.8698987182807385,0.8660306999315728,0.766042607162951,0.7002120479572935,0.6865806272983985,0.6446509375157008,0.8597488735697523,0.8557623158451273,0.8302621810090397,0.8825474147470328,0.8762032363980643,0.6377639154084843,0.8340041247985317,0.7778164999026658,0.5784823484250754,0.4328023304246317,0.4057407642320291,0.2892508064341215,0.8408673206078147,0.7877973687634736,0.586557667734418,0.8391170448307695,0.7906193775176698,0.5682599350468647,0.5866742059987582,-1.6456385834085232,0.4430465882849842,0.5460591285477296,0.5405193994855659,0.41296300246329254,0.8228924310539656,0.8145274280471432,0.6395240579400905,0.7055617755325156,-1.036011884325311,0.49188869728388196,0.8722520627059888,0.8693939336023139,0.626967220337225,0.764847331635795,0.7476929035401448,0.7115296808748839,0.8591114579659402,0.854005097440854,0.7565717150798899,0.8911576504068848,0.8819290210637672,0.6847131473997461,0.8785402097638506,0.8368235723618448,0.666391708297259,0.8201921106719652,0.8152882547144543,0.5971711867063842
3,0.8649496777390455,0.8554092561697861,0.605225840166115,0.5455160994348733,0.5239651980372316,0.40851442949230166,0.8611764291309925,0.85621375214588,0.6181142651229183,0.8685209945203178,0.8591630204159705,0.5521216415709115,0.8719119281836379,0.8693870257970303,0.6444469803231687,0.6048796478480485,0.5886979825837837,0.45145560615875835,0.8748764226072884,0.8723450523754385,0.6751930389255537,0.8839609149284212,0.8797177303498557,0.5693801948593895,0.8712346776953346,0.8706806889877944,0.7606079056425421,0.6010387750816499,0.5817048555583203,0.4555908307717287,0.8736271191833462,0.8723288816756725,0.7788161829297161,0.885058857941946,0.8750076915583093,0.5903361728442859,0.8539179714052283,0.8214189065922237,0.5311320813452876,0.46228587916090613,0.44948579165733016,0.31821278019285537,0.8528720015598,0.8187367647450967,0.5357053181195797,0.8504122472572005,0.8243899289856788,0.5298031210260157,0.6459995310110449,-1.5916588834615761,0.40748718267384865,0.541462103607897,0.539906223611226,0.4132289093069096,0.8365580053677831,0.8360747145787286,0.6020682210328785,0.7346132040363187,-0.8997096452975173,0.4425778333300354,0.8863562078929004,0.8838727879845997,0.5926230769207849,0.644441789049556,0.6238231493983315,0.49307352102539503,0.8745900563588123,0.8696858882744,0.6438341023921743,0.8966807432660254,0.888290188346347,0.6720669749157684,0.8660274104368864,0.8127118791735071,0.6794955409014689,0.8372250373357772,0.8203798757415592,0.5737659195689835
4,0.8813173625244888,0.8806921185077975,0.668557793584379,0.6787654689646478,0.6774478308932232,0.6382744823459523,0.8792206965050308,0.8788851559784391,0.6903260594223516,0.8683689801803094,0.8636459913405624,0.5892554425009853,0.8740273635627764,0.8706242135103007,0.71344798726663,0.6564184876551054,0.6551814181663496,0.5790945683261375,0.8764302044168512,0.8741505202166115,0.7509763964472915,0.8796955387653489,0.8763769523803207,0.5986658081302405,0.8810534277106123,0.8807046744737248,0.7507461439630304,0.7384498751354583,0.7375601233285781,0.8121547512583429,0.8772396376102808,0.8768436164941238,0.7760297720563609,0.8777403726632909,0.8701902145768516,0.6178012759384413,0.8450569677890929,0.8169567644973446,0.5552489651884774,0.42245235823168503,0.41411254344839976,0.3051378759999275,0.8459024196315424,0.8196469236425337,0.5599419772683697,0.8357787770329541,0.8205928151481158,0.5461445832498448,0.6161359387483035,-1.6110715227815677,0.41223391237096507,0.5605365450457724,0.5552785857166265,0.4117986929589589,0.8423028611561382,0.835767426197936,0.6092066485485139,0.692764553803295,-0.9429998559953878,0.4513428637763378,0.8918036989369906,0.8915502145908243,0.654612835946049,0.7473982146338174,0.7457272316014802,0.7093553065846159,0.8789983805307129,0.8786170135648492,0.680907969114953,0.8994258322357185,0.8936040324294823,0.6724108995123639,0.8758510227133918,0.798368464442981,0.6759974674146509,0.8247121812870184,0.811469825025857,0.5789708965833382
5,0.8673764399128503,0.8671975826078027,0.6430423964346388,0.6204333101911845,0.6068034252023278,0.4886864922225772,0.8658717169160407,0.8619565460810528,0.6264981606852436,0.8844470833470458,0.8726871712341582,0.583442810559921,0.8717387454948939,0.8703385798235594,0.6194472170016343,0.6349918814109121,0.6300644436602298,0.5247996334450061,0.8738607239479005,0.8714367468213129,0.6562252683795577,0.8800804754336031,0.8736709683918928,0.5612396926952115,0.880555592540733,0.8784626919453498,0.6694930536932027,0.6419327204855314,0.6344969539527394,0.5488760300594923,0.8829243419393671,0.8810505876577737,0.7186459006431838,0.8794636105333232,0.8681897180446237,0.5805208562253308,0.8402199376697999,0.8068178515966589,0.5248967593152103,0.4531463202817809,0.43674450399667275,0.28999875352874216,0.8536320113569797,0.8213677875569922,0.53902774398582,0.8439229566933564,0.8143239685374734,0.5196103445451691,0.5888439903244966,-1.597921902344809,0.38669261645720054,0.5521168659776403,0.5514337798485031,0.3809317396792372,0.8387978066673271,0.8377895264918997,0.5785694090159719,0.703937407276384,-0.9643313615444509,0.4399762896920394,0.8888276039053667,0.8878475731012325,0.6284950177062529,0.6698468141855553,0.6585868500930322,0.5056699317742239,0.8732830338508607,0.873222299415625,0.7487334034493616,0.8898275699855313,0.8845637167170792,0.6384618890740523,0.8788796914382311,0.8241767703622416,0.6550547039532213,0.8425675138439351,0.830015862471875,0.5735683794908197
6,0.8737539171091304,0.8665535035051001,0.6692523192733527,0.6594846770298053,0.6439801897201183,0.5759245305085452,0.8681415178954588,0.859959720017517,0.6309890091905741,0.8986143183403993,0.8880411636326322,0.6086341754735765,0.8847214461660173,0.8767631356006296,0.6503397587103238,0.6378514438310139,0.6016528138736507,0.5287189092828828,0.8780122101403555,0.8694770320584719,0.6486341219121188,0.8941634338637202,0.8826426064085228,0.5862045793945119,0.888631587022544,0.8803258388478119,0.6820485501736825,0.6692762792683346,0.6513578682114214,0.6030512013416527,0.8669598245071827,0.8531049836117539,0.6116046131543538,0.8861122241127667,0.870101518133923,0.5877193737811258,0.865440295592237,0.8003897477192456,0.5504274957490296,0.3516284191973392,0.3235386463354868,0.23532776896450935,0.8615187853168267,0.8001744972438868,0.5468421447844174,0.8581445801433187,0.8149341976550346,0.5449228932644601,0.6740968823964012,-1.5865200934704191,0.42671535017615614,0.5133552557782222,0.5049336834418572,0.368301462694676,0.838188737183827,0.8287999287067194,0.6035212530283072,0.7368921398341816,-0.9295673005323777,0.4667872091724289,0.9025425261644135,0.8958712727023194,0.6740935301211638,0.7425155940281203,0.720068759904439,0.7628536530000445,0.8694934777379846,0.8541316088956443,0.6277185119242772,0.8999731297842204,0.8933491523240249,0.6659992580094614,0.8863466383371273,0.8317054031588231,0.6601350346962307,0.8456810064983943,0.8301280671316023,0.594223182976933
7,0.8675359661875491,0.8615729795511038,0.6313509940684778,0.6080999017426231,0.6002909915165939,0.4840342797669749,0.8748065721826642,0.8723978557986664,0.6754646671651128,0.8818812503396847,0.8703993137097923,0.5841928419534628,0.8740430511468558,0.8724101125312539,0.6573510255106886,0.6225723433795174,0.5859486605564834,0.49971258202532587,0.8716318837801706,0.8678071177660407,0.6798544472575221,0.8814876196274828,0.87579278120226,0.5835820601482178,0.8874241763000849,0.8831803555160362,0.7249212350975702,0.7059311592106683,0.6979535640004125,0.6799227149645803,0.872192627998453,0.8712430150771031,0.8010534119200988,0.8861049035963013,0.8730208694606634,0.6017491305899302,0.8393949349681988,0.8141983645679329,0.5604480477055591,0.44452939506108935,0.4290785193121973,0.31289525422869957,0.8465345959697791,0.8212172805227491,0.5694767968862429,0.8456711117037501,0.811142970979583,0.5443694548222335,0.6248261890114575,-1.5373722365188907,0.4279200512171628,0.5615165777553915,0.5603316902877176,0.42408663191153406,0.8322693053066809,0.831463829450963,0.6106071599266081,0.6769805015537118,-0.8948876397345067,0.4470695563524226,0.8921427889189233,0.8911334495559413,0.6274497653784257,0.6603559287533909,0.5431112735832926,0.9964236329695626,0.8791675667248651,0.8759135793653736,0.668435547553327,0.8944993948321109,0.8885769264355595,0.6601339346072139,0.8748415754114751,0.8236423850336914,0.6628473125669742,0.8394946879331826,0.8221796450717218,0.5819162327591938
8,0.8614415696166543,0.8610041867843703,0.6699531852253009,0.6171121122806965,0.6058844100286961,0.5055268755719222,0.8627465108651422,0.8620836548496551,0.6997829206867809,0.8656406854737355,0.8578418320945342,0.6178121614250269,0.8676776632546688,0.8666582893701468,0.6787072881868933,0.6709547781690106,0.652459191697718,0.5928308934365387,0.8698651320064659,0.8689265619175326,0.7083420648343939,0.8818098887857693,0.8767620525998852,0.6258121603444269,0.8748828834516316,0.8739602531419474,0.7281140263373379,0.6605047024725819,0.6536832390418185,0.5999068054877452,0.8625512417945689,0.8606663750286883,0.6932191813555717,0.8893076941108666,0.8839869987306435,0.6645822578845948,0.8416704812465593,0.8031700464938324,0.5936482576550546,0.45531170763502415,0.43425780522338386,0.33606541680810553,0.8400468541299,0.8027879157824882,0.5952697315238868,0.8513660770244744,0.8230866614186696,0.5970278143090271,0.6916134000984986,-1.6426839036558838,0.4900430623041777,0.5471826645750578,0.5404461848608286,0.4495239138157515,0.8374347030910199,0.8314182992842352,0.6565487344965628,0.7348011275463555,-0.9211283166689752,0.5044504384774251,0.8694150476743294,0.8678743553930537,0.6288647966967552,0.6906621898829337,0.6874940677204443,0.6043117221282598,0.8573118700104347,0.8564266829199335,0.6757723050922668,0.9061772097587596,0.9018376518546278,0.703435477509433,0.8537162314399862,0.7833764588520281,0.6979349467116065,0.8419708610092619,0.8320863810929082,0.6381191076512436
9,0.8725834383303814,0.8725587082130071,0.6594766330302431,0.6176143096723298,0.6063336177618401,0.4642803395995043,0.8762310760450723,0.8722021124420954,0.639218696097052,0.8880072479911357,0.8854998277865366,0.6054183146093479,0.8684060392454029,0.8682236939778458,0.6459436060352722,0.6129329519617279,0.6040052107453154,0.4644639469359986,0.8737100471058561,0.8723145527525782,0.6592402116132148,0.8813162439318649,0.8791015010917614,0.5779361764565805,0.8771035624304487,0.8767683021048795,0.6922061789894345,0.710843178443557,0.7061085595858672,0.6759056667308592,0.880900226427651,0.8802706396756774,0.7513524855368391,0.878209049958528,0.8673326741823121,0.5810916916921495,0.8509146996756373,0.8165677431527899,0.5575289767237508,0.4186478637079625,0.40176804925511556,0.2636478895543888,0.8568608111983831,0.8226145063807364,0.5599693210339804,0.8444393161739027,0.8192876251138792,0.5424104395553984,0.6484927172476016,-1.5699026255933468,0.4198872301614367,0.5540482851695487,0.5504202266833521,0.42027401931929664,0.8374607645062326,0.8343964744826358,0.6114293324835314,0.7259235696030639,-0.8776974669724427,0.46828347522416314,0.8831208706014649,0.8818172429372977,0.5920377074711527,0.7129413242977667,0.7014493854314253,0.593350940966767,0.8689500279907865,0.8664545342725094,0.6406895415877623,0.9019226304011521,0.8957827245356942,0.6618385411727302,0.8769993495656673,0.8223283565841578,0.6487910848733986,0.8298280688891138,0.8045854105579615,0.5883434472878472
10,0.8724054018550002,0.8695720959332609,0.6071813742848918,0.5793398899410445,0.5700413897443809,0.47067934513604737,0.8764678767512205,0.8718615812147437,0.637426090119634,0.8783651283575267,0.8739995014991483,0.5681158711216148,0.8830155604411779,0.882448527691684,0.6332965508958229,0.5853092430381328,0.5749952076379752,0.47171769703056954,0.8763918888654264,0.8753356531377033,0.6644890970969978,0.8859344023450177,0.8825281728305359,0.5736984496133426,0.882492097892405,0.8814474076108465,0.6862525289987198,0.7159027641946658,0.7156230896270245,0.8471338013546805,0.8721180287022567,0.8720263310354421,0.7950182746831661,0.8909293024468935,0.883418688080257,0.5895208185099201,0.860458519677574,0.8425749079797816,0.5490387753618009,0.39949464764956166,0.39524415242368904,0.2773778781945284,0.8665712448439477,0.8487444603547665,0.5611747131213889,0.8558550294979549,0.8317707974180857,0.542406596775117,0.678761398407671,-1.578073614354306,0.4292253218370089,0.5242669941255969,0.5211641872275125,0.3874141135532846,0.835936335874825,0.8323742745102303,0.604267982320968,0.7345155006776208,-0.9340702922221922,0.45904021109836524,0.8879937630781973,0.8864454214113772,0.5840505233017588,0.7328322090816948,0.7301496552242571,0.7357148400224691,0.8797136189134762,0.8778255266646295,0.637771275043991,0.899456615409225,0.8972260334279697,0.6793671334801896,0.86705936827258,0.8036741102067977,0.6796564135243962,0.831703514299341,0.8111847357765599,0.5633981419569993
