muni,mse_gb_census, mse_gb_gis,mse_gb_all,mse_gb_psu,mse_bart_census,mse_bart_gis,mse_bart_all,mse_bart_psu,mse_rf_census,mse_rf_gis,mse_rf_all,mse_rf_psu,mse_lasso_census,mse_lasso_gis,mse_lasso_all,mse_lasso_psu,mse_ols_census,mse_ols_gis,mse_ols_all,mse_ols_psu,mse_gb_hhid_demo,mse_gb_psu_wc,mse_gb_gis_ntl,mse_gb_all_ntl,mse_eb,mse_uc
1011001,0.00017514005254756098,0.006588471802752872,0.00018947281138310642,9.747770128948907e-05,0.0003142797878082779,0.0069334400482826235,0.00031787428535204023,7.969385535427088e-05,0.00019230244758642023,0.0030361535061319877,0.0001505752309079429,4.860795093368223e-05,0.00080248544413812,0.012758171592718179,0.0005772274947027647,0.00010871644171631459,0.034494754680475886,0.034793092121033396,0.003891222045448718,0.03110940518824308,0.006081293991704732,0.00010544133332894018,0.001404045766967059,0.00014456456436979964,0.0008105650071051968,0.00011673294410255242
1011002,0.0011585798741513447,0.0028497756925706234,0.0007911742398120774,0.0017284721351659388,0.0015026752271505388,0.0015506186412982581,0.0010106664900872632,0.0016214934371184223,0.0010020387808710569,0.0032845673583971535,0.0009420181908904519,0.0014995789957267275,0.002989159315618451,0.007369617127397594,0.0027791960994141772,0.0030264515352327187,0.06228598712653353,0.004186518258856511,0.002987040344281119,0.05357582060685191,0.04700656320705966,0.0015413180486805935,0.0018037622551022846,0.0008529127504242706,0.0016994537345973982,0.001546589266068516
1011003,0.0009191020818081163,0.001350672668253374,0.0009600801492233404,0.001908793928281564,0.0026107928177897216,0.0016840677325950758,0.003363618509386503,0.0025870311686427986,0.0015162140327079348,0.0016324138332898786,0.0013191966719398288,0.0020680970720550716,0.003804689451563612,0.00010633773474904609,0.003757032818823065,0.005676308666700187,0.09761896014441705,0.0005724400035758982,0.0028602847410964596,0.07978537618479857,0.04451193529660675,0.0009497197942898421,0.001845514014108935,0.001271849051300222,0.0008336290224947466,0.002132251866060592
1011004,0.0013744042377833961,0.0011809921730344122,0.0009329218278211119,0.0010934422160168182,0.001439628822828685,0.0009527824846656927,0.0009850353217534307,0.0007788452596886993,0.0014026551787297338,0.0012543903616201416,0.001329422040727827,0.0010133775508462564,0.001112816963486051,0.0040860776129429685,0.0011675313699936686,0.0016165531959786432,0.049496140617528245,0.000684532684336132,0.0006898001829120365,0.05137013489495384,0.04371443234264887,0.0014187917245164887,0.0022862444431399425,0.0011750456674731657,0.001701860952435445,0.0012570851280622932
1011005,0.0004946922462864474,0.00817871139053635,0.0006960165305255868,0.00069707765564032,0.0007646153248949726,0.010619183355839463,0.002010214119093614,0.0007236741136142204,0.0003834650572329484,0.004560986160586302,0.0005271590698018706,0.0004748534063805751,0.0002730486142877521,0.014867049087530582,0.0003910628115740164,0.00016844039969430197,0.00984808686945747,0.004468292385401345,0.0017587305786064284,0.02239665826106101,0.008055716762181708,0.00020693867345036377,0.0016601900495714433,0.0005310678672173429,0.001930191389444773,0.00035426981381020607
1011006,0.0006908393380437276,0.003590512681314908,0.0007251269815842372,0.00015684309230724091,0.0005872557102073849,0.002599757863332913,0.0005731501472183246,0.0001638599476141243,0.0006274023171411517,0.002153383610365293,0.0005572707604612438,0.00012441343680866465,0.00027358752719030546,0.0011744769782698744,0.0003034708892474425,7.048419798393996e-05,0.022790527240227725,0.0044854227687528584,0.0013782581684900752,0.024909843429823275,0.0178802922462395,0.0003009179362950772,0.0009549924214600777,0.0005216913280262648,0.002116270573401179,0.00037723043165104286
1011007,0.0027980947378167358,0.002779523111893119,0.0023592260758599384,0.00353322233244496,0.004282674339018335,0.002654250597411907,0.0038903154044334053,0.003412607010724724,0.0025341243879543293,0.0034675753604422664,0.0022821372840040955,0.0037200230311438317,0.004572305588739365,0.0029208482330999883,0.0048585146738858425,0.004200900392358265,0.032594764305580774,0.0015601551721462895,0.003993901255371701,0.04644944210531378,0.047494698662226574,0.0029162350245899903,0.004433497647502014,0.003004009842888553,0.0010033354096880328,0.002600513105346991
1011008,0.0010156832126177874,0.001863523794806375,0.0008707016930397572,0.0005234214041725194,0.0010010427623902247,0.0014746647506509686,0.0011100996230535944,0.0003013376922085405,0.0011815741966087572,0.001986277604289543,0.0015261634838289796,0.000424435296394298,0.0012738668317398788,0.0022211412830686578,0.000961108448045705,0.0017505379041523725,0.026120811895279806,0.002273005564108532,0.0017006740615439356,0.041190109759479995,0.03795127734866604,0.000936505524185113,0.0015915910101642079,0.0009114862984030427,0.001780238997006153,0.0018163766377660418
1011009,0.0019458369503294894,0.0013090053909410226,0.0015742858206033287,0.00040612576130518113,0.0018110200237551007,0.002372191183828124,0.0013634092095462173,0.0003994387131883147,0.0018007103170059149,0.0016208526070606059,0.0015510519478525735,0.000380508499152115,0.0003067262194445173,0.003644639586928683,0.0003508743987262242,0.0001736093144002452,0.0340659469808547,0.002043002018370754,0.0013397682841098206,0.0345847036733992,0.03245953308463466,0.0008375247290816713,0.0017641643169677636,0.0009700684325367672,0.0022897508690942225,0.0010384723582190975
1011010,0.0022759304016698027,0.0009038318549698553,0.002583549776083082,0.000299564582760893,0.0026634352953491683,0.0011412995748397796,0.0037555427801454306,0.0004564162245368728,0.0016578332622007967,0.0014284967331709656,0.002608211077989951,0.0002719965498901365,0.00018416944660804805,0.0030860985420460268,0.00024718169693482774,0.0003428661950066115,0.04417346338465502,0.0009962708011224685,0.003440043094958662,0.04180615105140424,0.026393837768604617,0.0007105831294919708,0.0012203622540634545,0.0021626338551705856,0.0018904930313215487,0.0014962969144109084
